;values
1211;Come Swallowing
1212;sorry for terrible title
1213;Second Chances
1214;Canon Bisexual Character
1215;Warning: Genma attacks Ranma but Ranma ultimately wins
1216;Saotome Ranma speaks a little Chinese
1217;well semi-reliable maybe
1218;Slight OOC
1219;Seriously Fuck Genma
1220;but not between Ranma and Akane
1221;Strong Female Characters
1222;Not beta read we die like Genma when i'm done with him
1223;New Dragon
1224;Personal Growth
1225;Shampoo takes a bath
1226;Mentions of shampoo
1227;Stuffing
1228;Clothes Bursting
1229;Please Don't Hate Me
1230;who let me write this?
1231;The Sanzo-ikkou discover Jusenkyo
1232;happosai being stupid
1233;becoming nonhuman
1234;Cure
1235;only really at the end though
1236;poor sense of direction
1237;the saotome and tendo school for A+ parenting
1238;Alternate Universe - Vampire
1239;Also I am sorry for the title
1240;Reality Bending
1241;Spoof
1242;Crack Fic
1243;Crack Pairing
1244;Fanvids
1245;Suggestive Themes
1246;#estoesuninfiernodeimagenes
1247;Gems using Ki
1248;Angel!Nodoka
1249;Implied/Referenced Sexual Assault
1250;Bestiality
1251;Chibi-Puppets
1252;Cartoon Physics
1253;Trans rights
1254;Jusenkyo Curse shenanigans
1255;Ranma is trans and deeeeeep in the closet
1256;Post-Reichenbach
1257;Catlock
1258;Not Season/Series 03 Compliant
1259;Alternate Universe - Mutants
1260;Betrayal
1261;Alternate Universe - Superheroes/Superpowers
1262;Detectives
1263;Alternate Universe - Ranma 1/2 Fusion
1264;Nonbinary Character
1265;Protective Bakugou Katsuki
1266;Murder
1267;Established Relationship
1268;Fluff
1269;Self-Insert
1270;Vomiting
1271;Flirting
1272;Chatting & Messaging
1273;Apocalypse
1274;Flash Fic
1275;One-Sided Attraction
1276;WAFF
1277;fanday 2015
1278;Action/Adventure
1279;Reincarnation
1280;no really!
1281;Implied/Referenced Suicide
1282;Minor Ranma/Akane
1283;Гари-центрик
1284;Parental Yagi Toshinori | All Might
1285;Bakugou Katsuki Faces Consequences
1286;Book 7: Harry Potter and the Deathly Hallows
1287;Police
1288;Superheroes
1289;Fourth Wall
1290;(please indulge me)
1291;Author Reacts to Characters
1292;Sanji's got issues
1293;Good Parent Greg Universe
1294;Rape
1295;Fake Cards
1296;Starvation
1297;Human Experimentation
1298;Fantasy
1299;No Romance
1300;Lies
1301;Be Careful What You Wish For
1302;Shepard is Ranma's descendant
1303;Translation
1304;Water
1305;Love Confessions
1306;Carpets Match the Drapes
1307;in labor
1308;Autistic Girl
1309;Female Pilot - Freeform
1310;Female Ejaculation
1311;Forced Feminization
1312;for stormlight not for ranma
1313;Ninja
1314;Masturbation
1315;Hybrid!Ranma
1316;LMAO
1317;friends - Freeform
1318;cambios
1319;SpideyPool could be read as Gen if you want
1320;Fluff and Smut
1321;BAMF Tendo Kasumi
1322;Iemitsu es un idiota enamorado pero un idiota
1323;está muy bien así
1324;Pedophilia
1325;Drawing inspiration from many places
1326;my mind is a Scary place at 2:45 am
1327;Alternate Universe - Ninjas
1328;Community: kink_bingo
1329;Tickling
1330;Double Penetration
1331;1 Sentence Fiction
1332;Non-Consensual Tickling
1333;supernatural bureaucracy
1334;Martial Arts Sex Comedy
1335;Accidental Marriage
1336;Alternate Universe - Children
1337;Katarina's pov
1338;Mutual Asphyxiation
1339;Ranma is chibusa's parent
1340;Side Story
1341;Period-Typical Transphobia
1342;Video Game Mechanics
1343;Sailor Senshi - Freeform
1344;Persona 5 Protagonist is a Little Shit
1345;except for that guy that played Tobi
1346;Attempted Kidnapping
1347;Dragons
1348;Bisexual Saotome Ranma
1349;Screenplay/Script Format
1350;Made with the Ranma/Sailor Moon crossover generator
1351;The League of Evil Fiancées
1352;it works
1353;Beta Mousse
1354;Semi-Public Sex
1355;ranko
1356;Explicit Language
1357;Porny Plot
1358;Set in America
1359;trans!akane
1360;Future Fic
1361;genderbender
1362;Trans Girl Ranma
1363;Seduction
1364;Wake-Up Sex
1365;Cunnilingus
1366;Crack Relationships
1367;Reluctant
1368;Genderqueer Character
1369;Nice Demons
1370;Non binary Ranma
1371;Bondage and Discipline
1372;character vignette
1373;LGBTQ Themes
1374;Panties
1375;Attempted Sexual Assault
1376;Alternate Curse
1377;Nonbinary Ranma
1378;Acceptance
1379;Cursed and Cursing are both involved
1380;Abuse
1381;Sex Slave
1382;toe sucking
1383;Comfort
1384;Bisexual Character
1385;Angst and Romance
1386;Ambiguous/Open Ending
1387;duels
1388;I have too many AU ideas
1389;G!P
1390;harmless fluff
1391;Satsuki Blinds An Entire School
1392;Secret Japanese/Chinese Gnome Enclave
1393;Deepthroating
1394;Dirty Talk
1395;very loosely implied caregiver/little play
1396;Christmas
1397;Karaoke
1398;Socialism
1399;Bisexual Akane and Ranma
1400;Attempt at Humor
1401;Female Friendship
1402;Male Friendship
1403;Ranma has many moments
1404;Business
1405;Ryoga wants to marry and have Akane's kids
1406;Arranged Marriages
1407;Mild Blood
1408;Final Battle
1409;Post-Wedding
1410;Shotgun Wedding
1411;Adoption
1412;Food Metaphors
1413;Dream World
1414;best rivals
1415;Honeymoon
1416;Socal
1417;A fantasy epic
1418;Real world to magic world
1419;Gang Rape
1420;Mourning
1421;Death of a Parent
1422;younger au
1423;Drunk driving reference
1424;Ranma’s sort of got anxiety now... too much pressure
1425;Ranma Saotome Does What He Wants (Ranma 1/2)
1426;many ingredients mentioned
1427;school principal for the win
1428;Songfic
1429;Mentor/Protégé
1430;Poverty
1431;more tags to come and i may change the title (shrugging emoticon)
1432;knee high socks
1433;shimapan
1434;i've been sitting on this for so long i just want to throw it out into the wild now
1435;Jiangshi
1436;Akane is Not Impressed
1437;I Wrote This Instead of Sleeping
1438;Near Death Experiences
1439;Cat Puns
1440;cliffs
1441;Gentle Kissing
1442;Lady and the Tramp (1955) References
1443;Realization
1444;Leaving on a jet plane
1445;Doctor/Patient
1446;Milk
1447;One Big Happy Family
1448;Premature Birth
1449;real men
1450;Cervical Orgasm
1451;Dancing Lessons
1452;magical evening
1453;Volcanoes
1454;Ridiculous
1455;SpongeBob SquarePants References
1456;Bodily Fluids
1457;Plural Angst
1458;Implied/Referenced Underage Prostitution
1459;post-martial handholding
1460;Bi Akane
1461;Gender Roles
1462;Jusenkyo Cursed Tendou Akane
1463;Choices
1464;Finding Family Through a Long Lost Journal
1465;Sad and Happy
1466;Shippy
1467;Treacherous Journey
1468;Gambling
1469;Poison
1470;I'll leave it ambiguous who he is writing to
1471;Ryouga gets lost a lot
1472;Pre-Relationship
1473;Audio Format: Streaming
1474;Podfic Length: 10-20 Minutes
1475;Trans Male Tofuu Ono
1476;Murder Mystery
1477;AFAB Ranma
1478;but not confirming any
1479;poo - Freeform
1480;bathroom is full
1481;shonen dump
1482;Past Child Abuse
1483;coffee shop AU
1484;Ryoga tired
1485;standalone sequel
1486;BO threatening people
1487;Genocide
1488;Ranma becomes a God
1489;akane is a disaster lesbian
1490;Aphrodisiacs
1491;Pubic Hair
1492;Priorities right?
1493;Top Ranma
1494;two Dicks
1495;ALL THE GOOD STUFF
1496;Responsibility
1497;Mind Controll
1498;Alternate Canon
1499;Anxiety Attacks
1500;Sex in the Dark
1501;Ryouga is also just a nipple guy generally
1502;Rigged Contest
1503;trapped together
1504;Look I really just wanted to write cute kissing scenes OK
1505;misgendering cw
1506;so it's a lil rough at the beginning but its my baby
1507;Silly supernatural shenangians
1508;sometimes an egg needs just the right touch to crack
1509;Roleswap
1510;basically rumiko's characters dealing with sunrise's mistakes
1511;a little humor
1512;Post-White Collar
1513;This is probably the bleakest thing I've ever written
1514;Ukyou is a good sport
1515;Oblivious
1516;Cuckolding
1517;Fucked Stupid
1518;A new technique for Ryoga
1519;Who needs proofreaders
1520;Welcome to daily life as a girl Ranma!
1521;Ranma tries to write in a journal
1522;Genma and Soun being themselves
1523;Babysitting
1524;Genma tries his best for once
1525;alternate universe - senki zesshou symphogear fusion
1526;They’re trying to communicate
1527;Bisexual Disasters
1528;Fon is Ranma cousin as well
1529;Mist Oozora Hibari
1530;Rain Nodoka Hibari(Saotome)
1531;Sexual exploration
1532;Party
1533;Light Romance
1534;Talking
1535;Sexuality
1536;Tsunderes
1537;Sleep fighting
1538;Your OTP Grew Up
1539;Bead Embroidery
1540;Fix-It
1541;Light Sadism
1542;Hori Kyoko scares Miyamura Izumi a little and he likes it
1543;Turns out I like instant gratification too
1544;Pining
1545;Misandry
1546;Two Shot
1547;Ranma and Souma is related
1548;Suicide
1549;Demon
1550;Inheritance
1551;Racing
1552;Alternate Universe - Modern: Still Have Powers
1553;Mentioned Saionji Ukyou
1554;Alternate Universe - High School
1555;im just working off other fanfics and Vibes
1556;April Showers Challenge
1557;Happosai is only in it to be erased from existance
1558;No beta because I don't want to have to think about this for any longer than neccessary
1559;Although technically off-screen
1560;with Akane being cucked but its not a focus
1561;Reader Surrogate
1562;Ensemble Cast
1563;Period-Typical Everything
1564;Dream Fuckery
1565;Time Loop
1566;Hunger Games
1567;Druid!Ranma
1568;skirt go spinny
1569;Summer Vacation
1570;1000-5000 Words
1571;body switching
1572;Eventual Relationships
1573;Sex in food
1574;Jusendo recovery
1575;Doomed Timelines
1576;Unconventional martial arts duel
1577;bet
1578;Fridge Horror
1579;InuRan
1580;Ryoga recibe una buena lección
1581;Companionable Snark
1582;Queer Themes galore
1583;Powerful!Kasumi
1584;Hybrids
1585;Cosplay
1586;Mad Science
1587;plural Maya Fey
1588;Possible Implied PTSD - Post-Traumatic Stress Disorder
1589;Good Parent Midoriya Inko
1590;fun with pronouns
1591;shopping montage
1592;Frank discussions of trauma
1593;Specifically the seppuku pledge
1594;thirsting over buff women
1595;Slime
1596;Alternate Universe - Avatar & Benders Setting
1597;Strip Tease
1598;Alien Technology
1599;Additional Tags to Be Added
1600;Creature!Ranma
1601;Ebra Crypt
1602;Pastiche
1603;Professional Wrestling moves
1604;Readjusting to the Normal World
1605;First Dance
1606;very very gay
1607;Female Danny
1608;cursed springs
1609;References to several other anime
1610;Inspired by Anime
1611;tags added as needed
1612;Crossover with damn near everything under the sun
1613;Giants
1614;Gay Male Character
1615;Canon-Typical Behavior
1616;Complicated Relationships
1617;Sex
1618;danganronpa - Freeform
1619;Really old...
1620;Fourth Wall Breaking
1621;Bad Flirting
1622;Iroh is a better influence than Genma
1623;Canon-Typical Violence
1624;Alternate Universe - Gender Changes
1625;Romantic Fluff
1626;Hurt/Comfort
1627;69 (Sex Position)
1628;Escuela
1629;Modo Neko - Ken
1630;Angstruary
1631;fantasías
1632;Weird hybrid world between Naruto and Pokemon!
1633;Spanking
1634;я не думаю что меня нельзя за это простить
1635;Bakugou Katsuki Swears A Lot
1636;Capricious gods
1637;Orgy
1638;Alternate Universe - Evil
1639;body issues
1640;Jusenkyo Springs
1641;Ryouga is Zoro's Uncle
1642;Intersex
1643;Rough Sex
1644;Consensual Possession
1645;Multiplicity/Plurality
1646;Transformers as Humans
1647;Continuation
1648;Dangan Ronpa Spoilers
1649;Alternate Universe - Fusion
1650;Jusenkyo Curse
1651;Also I totally mess with timelines
1652;Also Includes Gender Bending
1653;CALL THE MIDWIFE!
1654;Original Character-centric
1655;Hand Jobs
1656;Sex Toys
1657;Dominatrix
1658;Second-Hand Embarrassment
1659;Iceland
1660;Highlander Immortals
1661;Player Character (Astral Chain) is named Misaki
1662;Demons
1663;somehow morphed into an odd mix of crack treated seriously and character studies
1664;Mature Saotome Ranma
1665;Horror
1666;Slow Build
1667;Explicit Sexual Content
1668;New Years
1669;Tsuna y Artes marciales
1670;Book 1: Harry Potter and the Philosopher's Stone
1671;Stardew
1672;Not Canon Compliant
1673;Vaginal Fingering
1674;Twitter Fic prompt
1675;Non-Consensual Spanking
1676;90's anime
1677;Alien Sex
1678;Aliens
1679;Evil Twins
1680;Agender Aino Minako
1681;Sailor chaos - Freeform
1682;Basically YAHF but Ranma
1683;Trans Female Hibiki Ryouga
1684;Shadow Operatives
1685;it was all Theodore's fault
1686;the bartender says what is my life
1687;I have meta
1688;Bisexuality
1689;Pre-Canon
1690;Happousai being Happousai
1691;Game Dev Mother
1692;Omega Kadachi
1693;Omega Shampoo
1694;Complete
1695;and per usual there's more dirty talk than actual dirty deeds...sorry
1696;Epistolary
1697;Implied Sexual Content
1698;Unresolved Sexual Tension
1699;Introspection
1700;Halloween
1701;Canon - Manga
1702;Age-Up
1703;genderbent
1704;Akane accept it
1705;Canon Compliant
1706;Maybe a little angst
1707;Shibari
1708;Autoerotic Asphyxiation
1709;arm binders
1710;Canon Genderbending
1711;Movie Night
1712;Valentine's Day Fluff
1713;we post unedited fanfic like men
1714;The love triangle doesn't officially start until we're 20+ chapters into this thing
1715;Japanese Culture
1716;Character Study
1717;Girls Kissing
1718;Impregnating
1719;muscle fetish
1720;sweat fetish
1721;Parent-Child Relationship
1722;Don't Examine This Too Closely
1723;but in a funny way
1724;Surprise Ending
1725;Fluff(?)
1726;Mutual Pining
1727;Oops
1728;smut in later chapters
1729;Action & Romance
1730;shifting reality
1731;Slut Life
1732;Expect it to be LONG
1733;Expect the Naughtiness
1734;mall cops - Freeform
1735;Hats that Play Beethoven
1736;Children
1737;Polyamory Negotiations
1738;Sexual Roleplay
1739;Lolita
1740;Ranma 1/2 Secret Santa Exchange 2018
1741;Japanese Christmas
1742;training/camping
1743;The Ultimate Shi Shi Hokodan
1744;Epic Battles
1745;Serious Injuries
1746;Brutality
1747;Fist Fights
1748;Shounen Fights
1749;Mind Swap
1750;Catgirls
1751;Domination
1752;Wet Dream
1753;Bunny Girl
1754;Pegging
1755;Chromatic Source
1756;Chromatic Character
1757;Tentacles
1758;Retrotech
1759;ranma/akane - Freeform
1760;Also kind of violent
1761;Super Android 17 and Evil Shenron Sagas never happens so Goku and Dragon Balls are still around
1762;Midlife Crisis
1763;Knives
1764;split fic
1765;Friends With Benefits
1766;am i joking or not?
1767;look...they're so good
1768;Reunions
1769;the Amazons - Freeform
1770;I don’t think it’s enough blood to count as graphic violence
1771;Nature
1772;getting home
1773;ship of dreams
1774;Suspense
1775;fairytale
1776;Cat Hoodie
1777;Marriage
1778;Pregnant Sex
1779;Sexual Fantasy
1780;Christmas Special
1781;Nursing Kink
1782;Fluff without Plot
1783;Married Sex
1784;Senses
1785;I'm Not Ashamed
1786;Christmas Morning
1787;Moaning
1788;Sensual Play
1789;Christmas Caroling
1790;What Was I Thinking?
1791;Don't Judge Me
1792;lovestruck
1793;Playing with Canon
1794;Anything Goes Martial Arts Mental Gymnastics
1795;canon-atypical presence of hugs
1796;Alternate Universe - Pre-Canon
1797;merged character
1798;POV Lesbian Character
1799;rivalries
1800;Fire
1801;And a girlfriend who doesn't hit him
1802;She's not a pushover though
1803;Ranma. That's who
1804;Alternate Universe - Prostitution
1805;10 Things
1806;Random & Short
1807;Japanese Mythology & Folklore
1808;Touching
1809;BAMF Kasumi
1810;Post-Traumatic Stress Disorder - PTSD
1811;Open to Interpretation
1812;laxative
1813;Dominance
1814;Oni Kasumi
1815;this wouldn't be a manga story if they weren't hiding in a closet!
1816;Mental Breakdown
1817;It's just shrooms though
1818;Making Out
1819;Please read the Author's Note
1820;Familiars
1821;Necromancer Kazumi
1822;Pokegirls (in some omake)
1823;Underage Sex (in Pokegirls omakes)
1824;Unsympathetic interpretation of Ranma 1/2 canon
1825;christ Ranma just admit you like being a girl already
1826;Genma can not handle three children
1827;Nabiki knows what she wants
1828;Kimono
1829;Grief
1830;Kaito wants to be a gentleman but sometimes he’s a disaster
1831;okay maybe not getting enough sleep is a kind of hurt?? that's as far as it gets
1832;Period Typical Attitudes
1833;But like... a rough estimation.
1834;Alternate Jusenkyo Curse
1835;Casual Sex
1836;Deflowering
1837;Cuddling & Snuggling
1838;Healthy Relationships
1839;you want fluff? you got the fluff!
1840;quarantine fic
1841;Brief F/M
1842;Bi-Curiosity
1843;rumic crew
1844;ryouga has a huge crush on Ranma and has already gotten over his crisis
1845;of the internalized homophobia variety
1846;beauty pagent
1847;eventual transphobia and homophobia
1848;Transgender Saotome Ranma
1849;It's complicated but an explanation IS forthcoming
1850;Mind/Mood Altering Substances
1851;Isn't Confusion the Worst
1852;no being walked in on
1853;tagging is hard
1854;Soft Saotome Ranma
1855;existentialism?
1856;Body Writing
1857;Trolling Tendou Nabiki
1858;Alternate Universe - Slavery
1859;Pony Play
1860;how to tag?
1861;FUCK HAPPOSAI
1862;Fuck Genma I hate that sorry excuse for a person
1863;The romance gets complicated
1864;period typical terminology for queer identities
1865;food service
1866;Ryoga is found in the first...again!
1867;Ukyo and Ryoga
1868;Swordfighting
1869;Genma and Soun's Plans Backfire
1870;nude
1871;A bit of SM and Tenchi Muyo reference
1872;Sleep Groping
1873;Choking
1874;Trans Male Kunou Kodachi
1875;Trans Female Ryoga Hibiki
1876;Masturbation in Shower
1877;a giant polyamorous mess
1878;cursed Oozora Hibari
1879;Identity Reveal
1880;Idiots in Love
1881;Fireworks
1882;Director's Cut: Went from a One Shot to an Epic
1883;Just me? Oh well.
1884;Handmade
1885;silliness
1886;Drunkenness
1887;Possibly Unrequited Love
1888;Angry Kissing
1889;Rape Aftermath
1890;Hospitalization
1891;Medical
1892;Japanese Character(s)
1893;present
1894;University
1895;For Want of a Nail
1896;no happosai - Freeform
1897;Author Is Sleep Deprived
1898;Arrogance
1899;Ranma VS Ryoga in Dojo
1900;Ranma de-ages
1901;Trapped
1902;Eris - Freeform
1903;Personality Swap
1904;Genderfluid Kuonji Ukyou
1905;also canon blind as in 'hopefully understandable if you haven't read canon'
1906;Community: eastasianfandomgiftbag
1907;Beta read? never heard of her
1908;Slightly Netorare
1909;Shiatsu point
1910;Non-Consensual Kissing
1911;Female Characters Initiating Sexual Encounters
1912;Canon-Typical Chaos
1913;Hiking
1914;Dream Magic
1915;I'll add tags as we go
1916;Wife Speedrun
1917;Ranma is not Ranma
1918;Cock Warming
1919;Ukyo is the prize
1920;ranma fights for his life
1921;Phobias
1922;Unlikely Team Up
1923;150 cursed springs
1924;Yuletide 2008
1925;Why Does This Exist
1926;secret
1927;Pre-OT3
1928;implied bisexuality
1929;Rival Relationship
1930;conspiring
1931;nabiki's got them covered
1932;Contract
1933;Hiatus
1934;Dramedy
1935;episode coda
1936;Shassie
1937;Dark Humor
1938;Dark and Light
1939;duh - Freeform
1940;Unfinished
1941;Ranma is idiot
1942;But not too heavy on either
1943;Genderfluid Ukyo
1944;Ryoga has zero self-awareness
1945;Ranma is in love
1946;Social Media
1947;Alternate Universe - Restaurant
1948;#AU
1949;#noesperesmuchoplot
1950;#socialmedia
1951;Creature!Ukyo
1952;Pacifist!Ranma
1953;Pokegirls - Freeform
1954;Post-Canon Fix-It
1955;Break Up
1956;ocxcanon
1957;Magical Creatures
1958;Alternate Universe - Video Game World
1959;Canon - Video Game
1960;so much gay
1961;Winter Holiday fluff
1962;Specifically slapping
1963;Elemental Magic
1964;cursed ponds
1965;Alternate Universe - Werewolf
1966;characters being a bit meta
1967;In-Laws
1968;Other Additional Tags to Be Added
1969;Drama & Romance
1970;Crossovers & Fandom Fusions
1971;Parody
1972;Supernatural Elements
1973;Not Beta Read
1974;Community: 1sentencefic
1975;Very emebrassing
1976;Floating Timeline
1977;Dimension Travel
1978;Ranma is sam/osamu
1979;Emotional Hurt/Comfort
1980;doubledrabble
1981;pocky day
1982;Deporte
1983;Reencarnación?
1984;Violence
1985;Angst and Humor
1986;Song fic
1987;naruto - Freeform
1988;Corporal Punishment
1989;Bakugou Katsuki Redemption
1990;Yagi Toshinori | All Might is a Bad Teacher
1991;Let Midoriya Izuku Swear
1992;Magic
1993;Demon Sex
1994;Female Saotome Ranma
1995;Body Swap
1996;Master/Pet
1997;Zoofic
1998;Bukkake
1999;Shadows (Persona 4)
2000;The Velvet Room (Persona Series)
2001;Religious Imagery & Symbolism
2002;Arranged Marriage
2003;Drabble
2004;Minor Original Character(s)
2005;Suicidal Ideation Mention
2006;中文翻译
2007;Plot What Plot/Porn Without Plot
2008;Corazones rotos
2009;Plus Some Plot Bunnies and Crossovers
2010;Narusegawa has a Good Punch
2011;Young Love
2012;Trust Issues
2013;Autistic Female
2014;Rape/Non-con Elements
2015;Vaginal Sex
2016;Large Cock
2017;Large Breasts
2018;Accidental Death
2019;Oblivious Katarina Claes
2020;Overpowered Katarina Claes
2021;Ponies turned Human
2022;Omake
2023;I Can't Believe I Wrote This
2024;Humorous Ending
2025;a bit of angst
2026;Confessioni d'amore
2027;Slice of Life
2028;Dubious Consent
2029;tonal whiplash
2030;a bit intentionally confusing
2031;typical time travel trope subversion
2032;Short and Silly
2033;Age Regression/De-Aging
2034;Epic
2035;Everyone WILL get their Memories back
2036;Grocery Shopping
2037;op ranma
2038;Date Rape Drug/Roofies
2039;Deconstruction
2040;MST
2041;Experimental Style
2042;Mild Sexual Content
2043;Other Fandoms Not Mentioned in Tags
2044;rated for language
2045;Different Team Members
2046;Other additional tags to be added later
2047;Sexual Violence
2048;Femdom
2049;Selfies
2050;Character Focus
2051;Homophobia
2052;drunken debauchery
2053;but evil
2054;Ryozanpaku - Freeform
2055;t4t
2056;Nonbinary Chiba Mamoru
2057;Fae & Fairies
2058;Psychological Horror
2059;Screw Destiny
2060;because in Japanese his name is just one single word
2061;Aged-Up Character(s)
2062;Labrys teaches at Azabu-Juban because I said so
2063;sorry guys I'm not about to write a love pentagon
2064;Multiple Pairings
2065;my god what have i done
2066;if you remember the old fic you know nothing
2067;you may ask yourself
2068;Sex Addiction
2069;Bisexual Tsukino Usagi
2070;Minor crossover with SHK
2071;More tags later
2072;Slight Scott Pilgrim elements but not an actual crossover
2073;Light Dom/sub
2074;Recreational Drug Use
2075;Genderbending in epilog
2076;If you've read a romance novel it shouldn't be shocking
2077;High School
2078;Self-Reflection
2079;Swimming Pools
2080;Facials
2081;Awkwardness
2082;Love Triangles
2083;Dom/sub
2084;Spitroasting
2085;Oral
2086;Titjob
2087;Okonomiyaki
2088;Demon Summoning
2089;Rope Bondage
2090;Corsetry
2091;penis gag
2092;Girl In Suitcase
2093;Femslash February
2094;Girl Ranma
2095;Girl Ranma and Akane
2096;Nightmares
2097;Genderbend
2098;Past Alcohol Abuse/Alcoholism
2099;Feel-good
2100;Curse Switch
2101;new life
2102;trans konatsu
2103;Clubbing
2104;Angst and Hurt/Comfort
2105;Domestic Fluff
2106;Sad
2107;Some Humor
2108;explicit pregnancy symptoms
2109;this is short and probably nonsensical but whatever
2110;God of Chaos
2111;Wordcount: 100-500
2112;canon violence mentioned
2113;Cameo appearance by the cutest couple
2114;Bath Sex
2115;Rough Oral Sex
2116;Gay Bar
2117;some drama
2118;Comedy romance action
2119;Drugging
2120;Christmas Presents
2121;Snow
2122;Winter
2123;Hot Springs & Onsen
2124;Fingering
2125;rough fighting
2126;Battle
2127;No Plot/Plotless
2128;Fights
2129;Wedding Fluff
2130;Karate
2131;Kotatsu
2132;Drinking Games
2133;Mousse is legal in this
2134;omg what was up with my purple prose days?
2135;Beast - Freeform
2136;lesbian fairy godmother
2137;Blackmail
2138;Asexual Character
2139;Gender Exploration
2140;Orgasm Denial
2141;There's some magic crap here
2142;Divorce
2143;Kitty Ranko
2144;Ranma's Smarter Than He Looks
2145;Saiyan Saotome Ranma
2146;Ranma falls into the pool of Drowned-Female-Saiyan and gets permanent saiyan features in both forms
2147;30Fic
2148;Vapes is baked
2149;Non-Sexual Bondage
2150;ultra obscure crossover
2151;Herb and Ranma Bond Over Bad Parenting
2152;Ranma's trying to figure his life out
2153;but if it is then let me know
2154;Fluff and Crack
2155;Animals
2156;Snowball Fight
2157;Rescue
2158;Homecoming
2159;Fishing
2160;Reconciliation
2161;Returning Home
2162;Wilderness Survival
2163;One True Pairing
2164;Teambuilding
2165;Surviving
2166;Gentleness
2167;Warnings May Change
2168;Body Worship
2169;Married Couple
2170;Nipple Licking
2171;Married Life
2172;Loving Marriage
2173;One of My Favorites
2174;hand holding
2175;Smutty
2176;Country Music
2177;Implied Twincest
2178;Slash
2179;so happy new year rankane still makes me weak so here ya go
2180;Emotionally Repressed
2181;Romantic Soulmates
2182;Toxic Masculinity
2183;Gosunkugi gets his just desserts
2184;Ranma loves Akane
2185;drug lord
2186;Tumblr Prompt
2187;Burns
2188;Rivers
2189;Underage Drinking
2190;School Dances
2191;Hentai
2192;Anime/Manga Fusion
2193;Wet Clothing
2194;Nothing too heavy just a little touching here and there
2195;Canon Non-Binary Character
2196;POV Female Character
2197;Chaos
2198;Bathroom Humor
2199;Self-Harm
2200;Meta-Joke
2201;Just kiss already!!
2202;Post Jusendo
2203;p-chan - Freeform
2204;There's a Ryuunosuke cameo in there too
2205;Sexual Identity
2206;Fingerfucking
2207;Absolutely contains Nabiki-bashing
2208;non-binary Kaito
2209;ntr
2210;Horny Teenagers
2211;but with a cave
2212;Voice Actor Jokes
2213;Drabble Set
2214;Ran is precious
2215;Sonoko is loving the intrigue
2216;minor Akane/Shampoo
2217;...and maybe more than just a friend
2218;Akane needs a friend
2219;Shower Sex
2220;spirit possession
2221;sapphic Aoko
2222;No Bashing
2223;Asexual Saotome Ranma
2224;discovering sexuality
2225;I’m really proud of this one
2226;Lots of Angst
2227;Uninterrupted
2228;BBC
2229;Sympathetic Kunou Kodachi
2230;Idk how this story is gonna go
2231;Probably won't change toooo much??
2232;Talk of Suicide
2233;Ryoga busts tables
2234;Ryoga massages Ukyo's neck
2235;Akane never wanted the Wedding
2236;schooling
2237;Pre-Poly
2238;Or maybe fighting while flirting
2239;Survivor Guilt
2240;Gangsters
2241;Older Man/Younger Woman
2242;Underage Sex
2243;Trans Female Tendou Akane
2244;Trans Kunou Kodachi
2245;PWP without Porn
2246;Ōzora is part of Hibari clan
2247;Alien Invasion
2248;Trans
2249;girlfriend hangout
2250;Pranks
2251;Plotting
2252;Based on chapter 129
2253;Damaged
2254;Nanban mirror
2255;Medical Professionals
2256;Glory Hole
2257;ranma loves it tho
2258;bisexual akane tendo
2259;Remake
2260;Muscles
2261;huge penis
2262;Eventual Permanent Girl
2263;Hellenistic Religion
2264;Fun
2265;Lesbian Relationships
2266;as in 'I've never actually read canon'
2267;April Showers 2012
2268;I wrote this so you don't have to think about him any more
2269;rivals to friends
2270;Implied/Referenced Homophobia
2271;Mistaken Identity
2272;Accidental Polyamory
2273;don’t expect frequent updates
2274;actual healthy communication
2275;Ranma is trans and we all know it
2276;In Public
2277;small amount of ranko fun
2278;Fake/Pretend Relationship
2279;frenemies to lovers
2280;basically only one canon person shows up in ch. 1 and she is a d-lister
2281;Filk
2282;Mentions of Mousse
2283;ranma trained yuujirou
2284;Parenting
2285;telling lies that are technically the truth
2286;150 tragic stories
2287;Martial Arts Childbirth
2288;cured
2289;curse
2290;but not really
2291;Hopeful Ending
2292;Stubborness
2293;breaking off engagements
2294;Everything is the same except phones!
2295;Jusenkyo Shenanigans
2296;sex with food
2297;Implied Yuri
2298;Posted with Permission
2299;It's Ranma 1/2
2300;Could've beens
2301;Self-Denial
2302;Scissoring
2303;Video Format: Streaming
2304;Checkers is a Good Dog
2305;Jasper has Regrets
2306;thirsting over buff women once again
2307;Samurai
2308;Sassy Sawada Tsunayoshi
2309;Lotsa AUs
2310;Genderfluid Character
2311;Racism
2312;Minor Character Death
2313;Fan Killing Game (Dangan Ronpa)
2314;How Do I Tag
2315;No Ranma charcters appearing...
2316;Post-Canon
2317;What-If
2318;Shakespeare Quotations
2319;artes marciales
2320;EsDeFanfics' Angstruary 2022
2321;Smut
2322;Food
2323;azotes
2324;Unrequited Love of Gary Oak
2325;Bakugou Katsuki is Bad at Feelings
2326;Alternate Universe - Different Servants
2327;First Time
2328;pokegirl - Freeform
2329;Writing
2330;Rose Quartz Did Many Things Wrong
2331;SouMako Week
2332;Crossdressing
2333;Shapeshifting
2334;Original Sentai Team
2335;X-gender Character
2336;Blood and Violence
2337;Ranma and her descendants is OP
2338;Post-Sovereign
2339;Ranma 1/2 fusion
